=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.23 21:19:08 =~=~=~=~=~=~=~=~=~=~=~=
BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1941600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1941700 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1941800 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1941900 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942000 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942100 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942200 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942300 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942400 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942500 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942700 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942800 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1942900 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1943000 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1943100 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1943200 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1943300 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1943400 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1943500 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1943600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
